frame_index,filename,timestamp,found,x,y,r,score,inliers,flow_dx,flow_dy,flow_dist,flow_n,ransac_vs_flow_error,motion_dx,motion_dy,motion_dist,motion_angle_deg,motion_direction,motion_speed,rotation_label,rotation_score,mean_ang_deg,ccw_fraction,cw_fraction,rot_n,x_smooth,y_smooth,r_smooth,jump_flag,dx,dy,dr,dist_moved,dx_smooth,dy_smooth,dr_smooth,dist_moved_smooth,good_detection
23,iota_full_20201116_1540.png,2020-11-16T15:40:00,True,3809.567627,3010.510986,78.73180389,198.0287323,224,-1.318660736,-3.562335491,3.798565557,50,6.378987389,0.213161273,-9.754669578,9.756998324,-88.74815874,N,0.975699832,Uncertain,0.575,0.357603472,0.575,0.425,80,3809.429072,3016.851522,78.03313086,False,9.256591797,-3.448730469,2.808692932,9.878169544,0.074606446,-3.414134352,0.376208556,3.414949414,0
24,iota_full_20201116_1550.png,2020-11-16T15:50:00,True,3819.176758,3028.591064,71.83717346,165.3015747,202,-1.46480155,-3.399307251,3.701477187,50,18.83891329,9.747685687,11.7395429,15.25890703,50.29615935,SE,1.525890703,CCW,0.625,0.277556331,0.625,0.375,80,3812.840762,3020.960362,75.86454577,False,9.609130859,18.08007813,-6.894630432,20.47497548,3.41168999,4.108840015,-2.16858509,5.34061746,0
25,iota_full_20201116_1600.png,2020-11-16T16:00:00,True,3804.407227,3035.068604,71.98090363,183.1467896,217,-1.626144409,-4.047030449,4.361513624,48,19.38954589,-8.433535554,14.10824195,16.43675798,120.8698708,SW,1.643675798,CCW,0.666666667,0.413619124,0.666666667,0.333333333,78,3809.889025,3025.898246,74.50527102,False,-14.76953125,6.477539063,0.143730164,16.1275406,-2.951737444,4.937884681,-1.359274751,5.752865292,0
26,iota_full_20201116_1610.png,2020-11-16T16:10:00,True,3803.806152,3030.079102,69.43074799,177.4351959,203,-1.431480408,-3.371382713,3.662698125,50,8.869709465,-6.082872329,4.180855312,7.381116915,145.4986375,SW,0.738111691,CCW,0.6,0.193741772,0.6,0.4,80,3807.760019,3027.361546,72.72918796,False,-0.601074219,-4.989501953,-2.55015564,5.02557658,-2.129005315,1.463299359,-1.776083062,2.58339092,0
27,iota_full_20201116_1620.png,2020-11-16T16:20:00,True,3800.124512,3032.144287,67.35752869,162.3991852,189,-1.206642151,-3.303712845,3.517172706,49,10.33058833,-7.635507639,4.7827415,9.009749894,147.9377282,SW,0.900974989,CCW,0.6,0.243343276,0.6,0.4,80,3805.087592,3029.035505,70.84910721,False,-3.681640625,2.065185547,-2.073219299,4.221311293,-2.672427673,1.673959525,-1.880080745,3.153412463,0
28,iota_full_20201116_1630.png,2020-11-16T16:30:00,True,3812.212646,3057.094482,66.15315247,155.5774078,205,-1.189590454,-3.050693512,3.274424583,49,32.20162951,7.125054801,28.05897729,28.9494838,75.75195207,S,2.89494838,CCW,0.725,0.351320583,0.725,0.275,80,3807.581361,3038.856147,69.20552305,False,12.08813477,24.95019531,-1.204376221,27.72427183,2.49376918,9.820642051,-1.643584162,10.13231933,0
29,iota_full_20201116_1640.png,2020-11-16T16:40:00,True,3797.532959,3033.576904,63.80679703,149.1920624,179,-0.862930298,-2.214561462,2.376748024,49,9.683241215,-10.04840188,-5.279242888,11.35080551,-152.2834015,NW,1.135080551,CCW,0.6375,0.384025577,0.6375,0.3625,80,3804.06442,3037.008412,67.31596894,False,-14.6796875,-23.51757813,-2.346355438,27.72308976,-3.516940658,-1.847735011,-1.889554108,3.97278193,0
30,iota_full_20201116_1650.png,2020-11-16T16:50:00,True,3814.796631,3053.077637,63.97754669,141.2150574,178,-0.827877045,-1.68652153,1.878758971,50,21.18731097,10.73221065,16.06922454,19.32356911,56.26208502,SE,1.932356911,Uncertain,0.5625,0.093265852,0.5625,0.4375,80,3807.820694,3042.632641,66.14752116,False,17.26367188,19.50073242,0.170749664,26.04444147,3.756273729,5.624228591,-1.168447788,6.763249187,0
1,ida_full_20210829_1000.png,2021-08-29T10:00:00,True,2057.712402,1262.891357,94.86387634,237.693512,242,,,,0,,,,,,,,Uncertain,,,,,0,2057.712402,1262.891357,94.86387634,False,,,,,,,,,0
2,ida_full_20210829_1010.png,2021-08-29T10:10:00,True,2069.038818,1257.877319,90.6955719,221.2685852,253,0.39831543,-0.572177887,0.697167638,47,11.79633436,11.32641602,-5.014038086,12.38661688,-23.87826881,NE,1.238661688,CCW,0.8625,0.59644809,0.8625,0.1375,80,2061.676648,1261.136444,93.40496979,False,11.32641602,-5.014038086,-4.168304443,12.38661688,3.964245605,-1.75491333,-1.458906555,4.335315907,0
